ep_title_formatted,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index_x,airdate,ep_name,number,rating,season,index_y
themaquispart1,0.0,9.0,0.0,0.0,37.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,37.0,17.0,71.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,39.0,24 Apr. 1994,The Maquis: Part 1,20,7.8,2,39
themaquispart2,0.0,8.0,0.0,0.0,15.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,39.0,29.0,63.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,40.0,1 May 1994,The Maquis: Part 2,21,7.9,2,40
thewire,0.0,293.0,3.0,0.0,15.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,38.0,41.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,41.0,8 May 1994,The Wire,22,8.2,2,41
crossover,0.0,137.0,0.0,0.0,4.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,166.0,0.0,0.0,55.0,25.0,35.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,42.0,15 May 1994,Crossover,23,8.0,2,42
thecollaborator,75.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,19.0,66.0,29.0,0.0,21.0,0.0,0.0,90.0,0.0,0.0,43.0,22 May 1994,The Collaborator,24,7.1,2,43
tribunal,0.0,21.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,23.0,0.0,0.0,158.0,75.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,5 Jun. 1994,Tribunal,25,7.6,2,44
thejemhadar,0.0,7.0,17.0,0.0,21.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,51.0,0.0,62.0,28.0,25.0,167.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,45.0,12 Jun. 1994,The Jem'Hadar,26,8.5,2,45
thesearchpart1,0.0,32.0,0.0,0.0,54.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,101.0,0.0,0.0,31.0,63.0,48.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,46.0,26 Sep. 1994,The Search: Part 1,1,8.4,3,46
thesearchpart2,0.0,44.0,6.0,0.0,22.0,0.0,13.0,0.0,51.0,7.0,0.0,0.0,79.0,0.0,0.0,16.0,104.0,20.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,47.0,3 Oct. 1994,The Search: Part 2,2,8.2,3,47
thehouseofquark,0.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,78.0,12.0,203.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,48.0,10 Oct. 1994,The House of Quark,3,8.0,3,48
equilibrium,0.0,132.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,1.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,49.0,17 Oct. 1994,Equilibrium,4,6.6,3,49
secondskin,0.0,11.0,1.0,0.0,23.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,13.0,6.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,50.0,24 Oct. 1994,Second Skin,5,7.8,3,50
theabandoned,0.0,57.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,32.0,0.0,0.0,30.0,157.0,23.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,51.0,31 Oct. 1994,The Abandoned,6,6.9,3,51
civildefense,0.0,33.0,38.0,0.0,33.0,117.0,0.0,0.0,48.0,45.0,0.0,0.0,61.0,0.0,0.0,70.0,47.0,51.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,52.0,7 Nov. 1994,Civil Defense,7,7.9,3,52
meridian,0.0,16.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,21.0,28.0,98.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,53.0,14 Nov. 1994,Meridian,8,5.6,3,53
defiant,0.0,14.0,4.0,0.0,25.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,14.0,9.0,2.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,54.0,21 Nov. 1994,Defiant,9,8.0,3,54
fascination,42.0,52.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,52.0,0.0,69.0,80.0,0.0,0.0,129.0,50.0,37.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,55.0,28 Nov. 1994,Fascination,10,6.2,3,55
pasttensepart1,0.0,118.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,68.0,7.0,4.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,56.0,2 Jan. 1995,Past Tense: Part 1,11,7.9,3,56
pasttensepart2,0.0,73.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,35.0,4.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,57.0,9 Jan. 1995,Past Tense: Part 2,12,8.0,3,57
lifesupport,42.0,141.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,49.0,0.0,85.0,11.0,23.0,6.0,0.0,26.0,0.0,0.0,90.0,0.0,0.0,58.0,30 Jan. 1995,Life Support,13,6.7,3,58
heartofstone,0.0,9.0,10.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,176.0,0.0,97.0,5.0,230.0,16.0,15.0,82.0,0.0,0.0,0.0,0.0,0.0,59.0,6 Feb. 1995,Heart of Stone,14,7.2,3,59
destiny,0.0,5.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,79.0,25.0,30.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,60.0,13 Feb. 1995,Destiny,15,7.4,3,60
prophetmotive,0.0,74.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0,14.0,310.0,146.0,17.0,0.0,0.0,0.0,0.0,113.0,61.0,20 Feb. 1995,Prophet Motive,16,6.7,3,61
visionary,0.0,93.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,139.0,68.0,39.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,62.0,27 Feb. 1995,Visionary,17,7.8,3,62
distantvoices,0.0,305.0,0.0,0.0,34.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,30.0,0.0,0.0,58.0,30.0,35.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,63.0,10 Apr. 1995,Distant Voices,18,6.5,3,63
throughthelookingglass,0.0,15.0,1.0,0.0,31.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,113.0,0.0,0.0,112.0,4.0,10.0,15.0,197.0,0.0,0.0,0.0,0.0,0.0,64.0,17 Apr. 1995,Through the Looking Glass,19,7.5,3,64
improbablecause,0.0,55.0,0.0,0.0,3.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0,191.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,65.0,24 Apr. 1995,Improbable Cause,20,8.6,3,65
thedieiscast,0.0,17.0,0.0,0.0,28.0,0.0,20.0,0.0,170.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,94.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,66.0,1 May 1995,The Die Is Cast,21,8.9,3,66
explorers,0.0,95.0,2.0,0.0,37.0,19.0,0.0,0.0,0.0,120.0,0.0,0.0,6.0,0.0,0.0,36.0,3.0,5.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,67.0,8 May 1995,Explorers,22,7.3,3,67
familybusiness,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,40.0,0.0,4.0,0.0,0.0,10.0,13.0,241.0,163.0,66.0,0.0,0.0,0.0,0.0,0.0,68.0,15 May 1995,Family Business,23,7.1,3,68
shakaar,0.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,38.0,16.0,31.0,0.0,39.0,0.0,0.0,101.0,0.0,0.0,69.0,22 May 1995,Shakaar,24,6.9,3,69
facets,0.0,14.0,4.0,0.0,140.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,34.0,17.0,19.0,56.0,24.0,66.0,0.0,0.0,0.0,0.0,0.0,70.0,12 Jun. 1995,Facets,25,7.2,3,70
theadversary,0.0,39.0,19.0,0.0,42.0,0.0,56.0,0.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,82.0,58.0,3.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,71.0,19 Jun. 1995,The Adversary,26,8.3,3,71
thewayofthewarrior,0.0,60.0,1.0,0.0,125.0,59.0,0.0,0.0,70.0,0.0,36.0,0.0,89.0,54.0,0.0,80.0,71.0,89.0,0.0,307.0,0.0,0.0,0.0,196.0,0.0,72.0,2 Oct. 1995,The Way of the Warrior,1,9.0,4,72
thevisitor,0.0,12.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,15.0,0.0,35.0,7.0,0.0,5.0,0.0,102.0,0.0,0.0,0.0,2.0,0.0,73.0,9 Oct. 1995,The Visitor,2,9.1,4,73
hippocraticoath,0.0,146.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,121.0,26.0,21.0,0.0,29.0,0.0,0.0,0.0,31.0,0.0,74.0,16 Oct. 1995,Hippocratic Oath,3,7.7,4,74
indiscretion,0.0,13.0,0.0,0.0,23.0,162.0,0.0,0.0,0.0,18.0,53.0,0.0,203.0,0.0,0.0,0.0,12.0,13.0,0.0,72.0,0.0,0.0,0.0,6.0,0.0,75.0,23 Oct. 1995,Indiscretion,4,7.7,4,75
rejoined,0.0,43.0,0.0,0.0,207.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,21.0,0.0,41.0,0.0,0.0,0.0,21.0,0.0,76.0,30 Oct. 1995,Rejoined,5,7.1,4,76
starshipdown,0.0,46.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,51.0,1.0,99.0,0.0,94.0,0.0,0.0,0.0,68.0,0.0,77.0,6 Nov. 1995,Starship Down,6,7.7,4,77
littlegreenmen,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,104.0,9.0,35.0,245.0,138.0,2.0,0.0,0.0,0.0,5.0,0.0,78.0,13 Nov. 1995,Little Green Men,7,8.5,4,78
theswordofkahless,0.0,1.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0,168.0,0.0,79.0,20 Nov. 1995,The Sword of Kahless,8,7.0,4,79
ourmanbashir,0.0,205.0,8.0,0.0,7.0,0.0,65.0,0.0,128.0,0.0,0.0,0.0,62.0,0.0,0.0,19.0,32.0,6.0,16.0,75.0,0.0,0.0,0.0,19.0,0.0,80.0,27 Nov. 1995,Our Man Bashir,9,8.0,4,80
homefront,0.0,13.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,9.0,0.0,56.0,23.0,96.0,29.0,0.0,162.0,0.0,0.0,0.0,18.0,0.0,81.0,1 Jan. 1996,Homefront,10,8.3,4,81
paradiselost,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,15.0,0.0,28.0,39.0,55.0,0.0,0.0,245.0,0.0,0.0,0.0,19.0,0.0,82.0,8 Jan. 1996,Paradise Lost,11,8.3,4,82
crossfire,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,3.0,203.0,92.0,0.0,29.0,0.0,0.0,0.0,44.0,0.0,83.0,29 Jan. 1996,Crossfire,12,7.2,4,83
returntograce,0.0,15.0,0.0,54.0,1.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,84.0,5 Feb. 1996,Return to Grace,13,7.8,4,84
sonsofmogh,0.0,36.0,3.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,50.0,45.0,10.0,0.0,34.0,0.0,0.0,0.0,157.0,0.0,85.0,12 Feb. 1996,Sons of Mogh,14,7.3,4,85
barassociation,0.0,45.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,19.0,179.0,205.0,20.0,0.0,0.0,0.0,47.0,0.0,86.0,19 Feb. 1996,Bar Association,15,7.3,4,86
accession,0.0,58.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,88.0,0.0,0.0,92.0,19.0,18.0,0.0,136.0,0.0,0.0,0.0,8.0,0.0,87.0,26 Feb. 1996,Accession,16,7.2,4,87
rulesofengagement,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,38.0,24.0,24.0,0.0,157.0,0.0,0.0,0.0,69.0,0.0,88.0,8 Apr. 1996,Rules of Engagement,17,7.2,4,88
hardtime,0.0,89.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,29.0,10.0,0.0,0.0,239.0,1.0,7.0,0.0,29.0,0.0,0.0,0.0,5.0,0.0,89.0,15 Apr. 1996,Hard Time,18,8.2,4,89
shatteredmirror,0.0,32.0,1.0,0.0,13.0,0.0,0.0,0.0,36.0,67.0,0.0,0.0,79.0,0.0,29.0,102.0,11.0,12.0,0.0,152.0,0.0,0.0,0.0,43.0,0.0,90.0,22 Apr. 1996,Shattered Mirror,19,7.2,4,90
themuse,0.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,9.0,0.0,0.0,5.0,111.0,10.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,91.0,29 Apr. 1996,The Muse,20,5.5,4,91
forthecause,0.0,19.0,0.0,0.0,5.0,0.0,93.0,0.0,65.0,30.0,97.0,0.0,11.0,0.0,0.0,31.0,41.0,20.0,0.0,186.0,0.0,0.0,0.0,17.0,0.0,92.0,6 May 1996,For the Cause,21,7.8,4,92
tothedeath,0.0,13.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,56.0,30.0,5.0,0.0,139.0,0.0,94.0,0.0,53.0,0.0,93.0,13 May 1996,To the Death,22,8.1,4,93
thequickening,0.0,197.0,4.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,94.0,20 May 1996,The Quickening,23,7.6,4,94
bodyparts,0.0,26.0,0.0,0.0,9.0,0.0,0.0,0.0,29.0,0.0,0.0,28.0,34.0,0.0,0.0,48.0,2.0,295.0,107.0,10.0,0.0,0.0,0.0,6.0,0.0,95.0,10 Jun. 1996,Body Parts,24,7.5,4,95
brokenlink,0.0,57.0,0.0,0.0,30.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,27.0,0.0,0.0,23.0,127.0,4.0,0.0,92.0,0.0,0.0,0.0,24.0,0.0,96.0,17 Jun. 1996,Broken Link,25,8.2,4,96
apocalypserising,0.0,35.0,0.0,8.0,8.0,41.0,0.0,0.0,1.0,7.0,0.0,0.0,46.0,54.0,0.0,47.0,81.0,12.0,0.0,91.0,0.0,0.0,0.0,68.0,0.0,97.0,30 Sep. 1996,Apocalypse Rising,1,8.2,5,97
theship,0.0,8.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,117.0,6.0,4.0,0.0,160.0,0.0,0.0,0.0,46.0,0.0,98.0,7 Oct. 1996,The Ship,2,7.9,5,98
lookingforparmachinallthewrongplaces,0.0,45.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,62.0,0.0,0.0,64.0,19.0,133.0,0.0,4.0,0.0,0.0,0.0,94.0,0.0,99.0,14 Oct. 1996,Looking for par'Mach in All the Wrong Places,3,7.7,5,99
northebattletothestrong,0.0,136.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,5.0,0.0,0.0,8.0,29.0,7.0,0.0,53.0,0.0,0.0,0.0,3.0,0.0,100.0,21 Oct. 1996,...Nor the Battle to the Strong,4,7.6,5,100
