airdate,ep_name,number,rating,season,index
8 Jan. 1994,The Pegasus,12,8.6,7,163
15 Jan. 1994,Homeward,13,7.1,7,164
29 Jan. 1994,Sub Rosa,14,5.0,7,165
5 Feb. 1994,Lower Decks,15,8.6,7,166
12 Feb. 1994,Thine Own Self,16,7.8,7,167
19 Feb. 1994,Masks,17,6.1,7,168
26 Feb. 1994,Eye of the Beholder,18,6.7,7,169
19 Mar. 1994,Genesis,19,7.2,7,170
26 Mar. 1994,Journey's End,20,6.5,7,171
23 Apr. 1994,Firstborn,21,6.8,7,172
30 Apr. 1994,Bloodlines,22,6.5,7,173
7 May 1994,Emergence,23,6.6,7,174
14 May 1994,Preemptive Strike,24,7.9,7,175
23 May 1994,All Good Things...,25,8.6,7,176
