,BAREIL,BASHIR,COMPUTER,DAMAR,DAX,DUKAT,EDDINGTON,EZRI,GARAK,JAKE,KASIDY,KEIKO,KIRA,MARTOK,NOG,O'BRIEN,ODO,QUARK,ROM,SISKO,VIC,WEYOUN,WINN,WORF,ZEK,index
sonsanddaughters,0.0,3.0,0.0,6.0,14.0,48.0,0.0,0.0,0.0,13.0,0.0,0.0,53.0,133.0,0.0,3.0,5.0,6.0,0.0,6.0,0.0,0.0,0.0,105.0,0.0,125.0
sonsofmogh,0.0,36.0,3.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,50.0,45.0,10.0,0.0,34.0,0.0,0.0,0.0,157.0,0.0,85.0
starshipdown,0.0,46.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,51.0,1.0,99.0,0.0,94.0,0.0,0.0,0.0,68.0,0.0,77.0
statisticalprobabilities,0.0,285.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,82.0,7.0,18.0,0.0,39.0,0.0,22.0,0.0,5.0,0.0,131.0
strangebedfellows,0.0,9.0,0.0,67.0,0.0,61.0,0.0,73.0,0.0,0.0,14.0,0.0,19.0,21.0,0.0,8.0,2.0,6.0,0.0,24.0,0.0,93.0,118.0,47.0,0.0,167.0
tackingintothewind,0.0,39.0,0.0,25.0,0.0,0.0,0.0,22.0,72.0,0.0,0.0,0.0,103.0,30.0,0.0,30.0,39.0,0.0,0.0,27.0,0.0,12.0,0.0,60.0,0.0,170.0
takemeouttotheholosuite,0.0,33.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,14.0,58.0,0.0,25.0,0.0,34.0,53.0,47.0,26.0,50.0,249.0,0.0,0.0,0.0,19.0,0.0,152.0
tearsoftheprophets,0.0,32.0,0.0,30.0,37.0,45.0,0.0,0.0,7.0,21.0,0.0,0.0,53.0,31.0,8.0,26.0,30.0,12.0,0.0,89.0,18.0,31.0,0.0,23.0,0.0,148.0
theabandoned,0.0,57.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,32.0,0.0,0.0,30.0,157.0,23.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,51.0
theadversary,0.0,39.0,19.0,0.0,42.0,0.0,56.0,0.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,82.0,58.0,3.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,71.0
thealternate,0.0,39.0,2.0,0.0,46.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,67.0,130.0,37.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,31.0
theascent,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,3.0,0.0,87.0,5.0,222.0,266.0,45.0,59.0,0.0,0.0,0.0,1.0,0.0,105.0
theassignment,0.0,47.0,19.0,0.0,27.0,0.0,0.0,0.0,0.0,8.0,0.0,166.0,0.0,0.0,0.0,250.0,35.0,32.0,97.0,29.0,0.0,0.0,0.0,5.0,0.0,101.0
thebegotten,0.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,37.0,0.0,0.0,25.0,225.0,38.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,108.0
thechangingfaceofevil,0.0,32.0,0.0,69.0,0.0,77.0,0.0,26.0,0.0,0.0,40.0,0.0,22.0,9.0,14.0,38.0,4.0,8.0,0.0,65.0,0.0,67.0,79.0,27.0,0.0,168.0
thecircle,48.0,18.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,137.0,0.0,0.0,23.0,67.0,42.0,0.0,125.0,0.0,0.0,36.0,0.0,0.0,21.0
thecollaborator,75.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,19.0,66.0,29.0,0.0,21.0,0.0,0.0,90.0,0.0,0.0,43.0
thedarknessandthelight,0.0,22.0,6.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,12.0,7.0,72.0,4.0,0.0,28.0,0.0,0.0,0.0,19.0,0.0,107.0
thedieiscast,0.0,17.0,0.0,0.0,28.0,0.0,20.0,0.0,170.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,94.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,66.0
thedogsofwar,0.0,57.0,1.0,40.0,0.0,0.0,0.0,34.0,32.0,0.0,17.0,0.0,41.0,6.0,3.0,11.0,18.0,131.0,36.0,46.0,0.0,15.0,0.0,2.0,46.0,172.0
